Feature,Definition
EMPLOYMENT_SECTOR,"Category: 
primary = ['Agriculture']
secondary = ['Electricity', 'Construction', 'Housing','Industry: type 11','Industry: type 1', 'Industry: type 4','Industry: type 7',
            'Industry: type 3','Industry: type 9','Industry: type 2','Industry: type 12','Industry: type 5', 'Industry: type 10',
             'Industry: type 13','Industry: type 8','Industry: type 6']
tertiary = ['Business Entity Type 3','Medicine','Business Entity Type 2','Transport: type 2','Trade: type 7','Services','Transport: type 4',
           'Security','Trade: type 2','Transport: type 3','Business Entity Type 1','Restaurant','Hotel','Trade: type 3','Bank','Insurance', 
           'Trade: type 6','Transport: type 1','Mobile','Trade: type 1', 'Legal Services', 'Advertising', 'Trade: type 5', 'Cleaning',
           'School','Religion','Kindergarten', 'University','Culture', 'Trade: type 4', 'Telecom','Realtor']
government = ['Government', 'Military', 'Security Ministries','Emergency','Police','Postal']
other = ['Other', 'XNA', 'Self-employed']"
b_AMT_CREDIT_MAX_OVERDUE_max,maximum amount overdue at any one point in the whole of the client's history with the Credit Bureau (active and closed credits)
b_AMT_CREDIT_SUM_OVERDUE_sum,current total of overdue amounts on all of the client's credits declared to the Credit Bureau
pcb_CNT_INSTALMENT_FUTURE_max,maximum number of future instalments due on all of the client's outstanding cash loans with Home Credit
ccb_AMT_BALANCE_mean,average monthly credit card balance on all of the client's history with Home Credit
ccb_AMT_CREDIT_LIMIT_ACTUAL_mean,average credit card limit during the month of the previous credit across all credit cards held by the client
ccb_AMT_DRAWINGS_TOTAL_mean,average total drawings during the month of the previous credit across all credit cards held by the client
ccb_AMT_TOTAL_RECEIVABLE_mean,average total amount receivable during the month of the previous credit across all credit cards held by the client
ccb_TOTAL_INSTALMENTS_max,maximum total amount of instalments remaining across all credit cards held by the client
ccb_CNT_DRAWINGS_TOTAL_mean,average current total drawings across all credit cards held by the client
ccb_CARD_OVERDRAWN_sum,total amount by which the client is currently exceeding the credit limit across all credit cards held by the client
ccb_CARD_OVERDRAWN_%_mean,average amount by which the client has exceeded the credit limit across all credit cards held by the client
ip_PMT_DELAY_mean,average number of days the client paid instalments late
ip_EARLY_PMT_mean,average number of days the client paid instalments early
ip_AMT_OVERPAID_%_mean,average amount by which the client's repayment has exceeded the instalment due
ip_AMT_UNDERPAID_%_mean,average shortfall on the amount of the instalments due by the client
pa_AMT_APPLICATION_mean,average amount of all past applications for any type of credit with Home Credit by the client (active and closed credits)
pa_RATE_DOWN_PAYMENT_mean,average amount of down payment for all past applications for any type of credit with Home Credit by the client (active and closed credits)
pa_NFLAG_INSURED_ON_APPROVAL_sum,sum of all approved credits which the client has insured upon approval by Home Credit
pa_BANK_DECLINED_sum,total number of credit application made by the client and declined by Home Credit (excluding current application)
pa_REMAINING_CREDIT_DURATION_Y_mean,average credit duration in years for all the active credits the client has with Home Credit
pa_CREDIT_SECURITY_sum,number of credits the client has with Home Credit where the amount of the credit is less than the value of the asset financed by the client with the credit
TOTAL_APPROVED_CREDITS,total number of credit applications made by the client with Home Credit or other lenders and which have been approved (excluding current application)
TOTAL_PAYMENT_DELAYS_DAYS,total average number of days by which the client is late on repayments across their whole credit history with Home Credit or other lenders (active or closed credits)
TOTAL_ACTIVE_CAR_LOANS,total number of currenty active car loans the client has with Home Credit or any other lenders
TOTAL_ACTIVE_OTHER_LOANS,total number of currenty active other loans the client has with Home Credit or any other lenders
TOTAL_ACTIVE_CONSUMER_LOANS,total number of currenty active consumer loans the client has with Home Credit or any other lenders
TOTAL_ACTIVE_MICRO_LOANS,total number of currenty active micro-loans the client has with Home Credit or any other lenders
TOTAL_ACTIVE_MORTGAGES,total number of currenty active mortgages the client has with Home Credit or any other lenders
TOTAL_ACTIVE_CREDIT_CARDS,total number of currenty active credit cards the client has with Home Credit or any other lenders
DEBT_RENEGOCIATIONS,total number of credit extensions or unapproved delayed repayments in the client's credit history with Home Credit and other lenders
CLIENT_BAD_CREDIT_HISTORY,total number of past credits of the client which were written off or sold as bad debt by the lender
CLIENT_FRAUD_FLAG,total number of occurrences a credit declined to the client was flagged as having a documentation or other issue with Home Credit and other lenders
CLIENT_WITHDRAWN_APPLICATIONS,total number of applications not processed to approval/refusal because the client withdrew the application with Home Credit or other lenders before a final decision was made
DOWN_PAYMENT_CURR_%,estimated % of the down payment to be made by the client for the current credit application
DEBT_RATE_INC_CURR_%,total current debt % of client compared to total disposable income for the household (including current application)
b_DAYS_CREDIT_CARD_max,maximum length of all closed or active credit card credits ever held by the client with other lenders
